"Resid. Df","Resid. Dev","Df","Deviance","Pr(>Chi)"
2239.99981830775,2822898.26595918,NA,NA,NA
2238.99981830775,2814412.40271174,1,8485.86324743787,0.00860276482367676
2235.99981830775,2755552.49780122,3,58859.9049105183,2.2538012334413e-10
2234.99981830775,2747291.9631532,1,8260.53464801982,0.00953280651446214
